Sample description: 
Sample:   c= 0 mg/ml  Code: 
Parent(s): D-Lys-OE.dat
 4.000000e-002  8.447904e-001  5.773636e-002
 4.600000e-002  8.167960e-001  4.962667e-002
 5.200000e-002  8.629532e-001  4.308666e-002
 5.800000e-002  7.724608e-001  3.798895e-002
 6.400000e-002  7.352120e-001  3.515338e-002
 6.800000e-002  7.471102e-001  3.309038e-002
 7.400000e-002  7.581552e-001  3.142121e-002
 7.800000e-002  6.974264e-001  2.887662e-002
 8.400000e-002  6.478212e-001  2.885864e-002
 9.000000e-002  6.053345e-001  2.637402e-002
 9.600000e-002  5.612698e-001  2.541330e-002
 1.020000e-001  5.689409e-001  2.516264e-002
 1.080000e-001  5.115681e-001  2.410233e-002
 1.140000e-001  5.071050e-001  2.284985e-002
 1.200000e-001  4.553859e-001  1.105981e-002
 1.260000e-001  4.058724e-001  1.103124e-002
 1.320000e-001  3.706932e-001  1.893970e-003
 1.380000e-001  3.414972e-001  2.031528e-003
 1.440000e-001  3.148812e-001  1.499832e-003
 1.500000e-001  2.874212e-001  1.709243e-003
 1.560000e-001  2.603342e-001  1.850415e-003
 1.620000e-001  2.362309e-001  1.840502e-003
 1.680000e-001  2.147159e-001  1.821548e-003
 1.740000e-001  1.925242e-001  1.392951e-003
 1.800000e-001  1.743154e-001  2.150304e-003
 1.860000e-001  1.548199e-001  1.871597e-003
 1.920000e-001  1.391286e-001  1.333854e-003
 1.980000e-001  1.166191e-001  1.207361e-003
 2.040000e-001  9.723467e-002  1.662598e-003
 2.100000e-001  8.833967e-002  1.306596e-003
 2.160000e-001  7.873843e-002  1.635448e-003
 2.220000e-001  7.259710e-002  1.251325e-003
 2.280000e-001  6.113901e-002  1.248231e-003
 2.340000e-001  5.111637e-002  1.411519e-003
 2.400000e-001  4.851379e-002  1.216769e-003
 2.460000e-001  4.210246e-002  1.216892e-003
 2.520000e-001  3.694230e-002  1.581719e-003
 2.580000e-001  3.303631e-002  1.221961e-003
 2.640000e-001  2.853971e-002  1.202602e-003
 2.700000e-001  2.713413e-002  1.440574e-003
 2.760000e-001  2.303135e-002  1.183665e-003
 2.820000e-001  1.922230e-002  1.239127e-003
 2.880000e-001  1.696820e-002  1.707992e-003
 2.940000e-001  1.711401e-002  1.426095e-003
 3.000000e-001  1.457225e-002  1.483213e-003
 3.060000e-001  1.306429e-002  1.105981e-003
 3.120000e-001  1.381097e-002  1.350831e-003
 3.180000e-001  1.092491e-002  1.153064e-003
 3.240000e-001  1.175300e-002  1.176118e-003
 3.300000e-001  1.115352e-002  1.173111e-003
 3.360000e-001  1.188579e-002  1.384049e-003
 3.420000e-001  1.131425e-002  1.194129e-003
 3.480000e-001  9.637681e-003  1.200491e-003
 3.540000e-001  9.331736e-003  1.244022e-003
 3.600000e-001  1.003293e-002  1.274752e-003
 3.660000e-001  8.451438e-003  1.971518e-003
 3.720000e-001  9.967905e-003  1.309549e-003
 3.780000e-001  7.849546e-003  1.870737e-003
 3.840000e-001  1.023965e-002  1.422791e-003
 3.900000e-001  9.801947e-003  1.490225e-003
 3.960000e-001  1.122286e-002  1.799205e-003
 4.020000e-001  9.127948e-003  2.001736e-003
 4.080000e-001  9.470040e-003  1.875630e-003
 4.140000e-001  7.349512e-003  1.563963e-003
 4.200000e-001  1.015205e-002  1.548434e-003
 4.260000e-001  8.715616e-003  1.560228e-003
 4.320000e-001  8.388824e-003  2.247015e-003
 4.380000e-001  5.185396e-003  3.586159e-003
 4.440000e-001  8.846442e-003  1.335880e-003
 4.500000e-001  5.527339e-003  4.302793e-003
 4.560000e-001  1.108930e-002  4.774786e-003
 4.620000e-001  9.799168e-003  1.871643e-003
 4.680000e-001 -1.040010e+000  1.040010e+000
 4.740000e-001 -1.040010e+000  1.040010e+000
 4.800000e-001  8.273182e-003  3.220358e-003
 4.860000e-001  9.079967e-003  1.907927e-003
 4.920000e-001  1.051348e-002  3.133018e-003
 4.980000e-001 -1.040010e+000  1.040010e+000
 5.040000e-001 -1.040010e+000  1.040010e+000
 5.100000e-001 -1.040010e+000  1.040010e+000
 5.160000e-001  7.739762e-003  3.457752e-003
 5.220000e-001 -1.040010e+000  1.040010e+000
 5.280000e-001  9.360631e-003  2.659508e-003
 5.340000e-001 -1.040010e+000  1.040010e+000
 5.400000e-001  1.131597e-002  3.212435e-003
 5.460000e-001  1.373912e-002  3.687674e-003
 5.520000e-001  1.042204e-002  7.242289e-003
 5.580000e-001 -1.040010e+000  1.040010e+000
 5.640000e-001  9.915382e-003  6.516652e-003
 5.700000e-001  2.107078e-002  1.113971e-002
 5.760000e-001 -1.040010e+000  1.040010e+000
 5.820000e-001 -1.040010e+000  1.040010e+000
 5.880000e-001 -1.040010e+000  1.040010e+000
 5.940000e-001 -1.040010e+000  1.040010e+000
range-from: 1
range-to: 94
Parent(s): D-Lys_SECSANS-rg.dat D-Lys-OE.dat
creator: datmerge
creator-version: v0.3 (r13696)
datmerge-scale: 1.01860E+00
parent: D-Lys-OE.dat
range-from: 2.40000E+01
range-to: 7.10000E+01
template: SANS-SmP.txt
